vgs	Id(M2)	sqrt(Id(M2))
Step Information: Vds=300m  (Run: 1/6)
0.000000000000000e+000	3.230061e-010	1.797237e-005
1.000000000000000e-003	3.329733e-010	1.824756e-005
2.000000000000000e-003	3.432472e-010	1.852693e-005
3.000000000000000e-003	3.538370e-010	1.881056e-005
4.000000000000000e-003	3.647525e-010	1.909849e-005
5.000000000000000e-003	3.760035e-010	1.939081e-005
6.000000000000000e-003	3.876004e-010	1.968757e-005
7.000000000000000e-003	3.995537e-010	1.998884e-005
8.000000000000000e-003	4.118743e-010	2.029469e-005
9.000000000000001e-003	4.245734e-010	2.060518e-005
1.000000000000000e-002	4.376625e-010	2.092039e-005
1.100000000000000e-002	4.511536e-010	2.124038e-005
1.200000000000000e-002	4.650589e-010	2.156522e-005
1.300000000000001e-002	4.793910e-010	2.189500e-005
1.400000000000001e-002	4.941629e-010	2.222978e-005
1.500000000000001e-002	5.093881e-010	2.256963e-005
1.600000000000001e-002	5.250803e-010	2.291463e-005
1.700000000000001e-002	5.412538e-010	2.326486e-005
1.800000000000001e-002	5.579233e-010	2.362040e-005
1.900000000000001e-002	5.751037e-010	2.398132e-005
2.000000000000001e-002	5.928106e-010	2.434770e-005
2.100000000000001e-002	6.110602e-010	2.471963e-005
2.200000000000001e-002	6.298688e-010	2.509719e-005
2.300000000000001e-002	6.492534e-010	2.548045e-005
2.400000000000001e-002	6.692316e-010	2.586951e-005
2.500000000000002e-002	6.898213e-010	2.626445e-005
2.600000000000002e-002	7.110412e-010	2.666536e-005
2.700000000000002e-002	7.329102e-010	2.707231e-005
2.800000000000002e-002	7.554483e-010	2.748542e-005
2.900000000000002e-002	7.786755e-010	2.790476e-005
3.000000000000002e-002	8.026129e-010	2.833042e-005
3.100000000000002e-002	8.272819e-010	2.876251e-005
3.200000000000002e-002	8.527046e-010	2.920111e-005
3.300000000000002e-002	8.789039e-010	2.964631e-005
3.400000000000002e-002	9.059034e-010	3.009823e-005
3.500000000000002e-002	9.337271e-010	3.055695e-005
3.600000000000003e-002	9.624000e-010	3.102257e-005
3.700000000000003e-002	9.919479e-010	3.149520e-005
3.800000000000003e-002	1.022397e-009	3.197494e-005
3.900000000000003e-002	1.053775e-009	3.246189e-005
4.000000000000003e-002	1.086109e-009	3.295616e-005
4.100000000000003e-002	1.119428e-009	3.345786e-005
4.200000000000003e-002	1.153763e-009	3.396708e-005
4.300000000000003e-002	1.189143e-009	3.448395e-005
4.400000000000003e-002	1.225601e-009	3.500858e-005
4.500000000000003e-002	1.263168e-009	3.554107e-005
4.600000000000003e-002	1.301878e-009	3.608154e-005
4.700000000000004e-002	1.341765e-009	3.663012e-005
4.800000000000004e-002	1.382866e-009	3.718690e-005
4.900000000000004e-002	1.425215e-009	3.775202e-005
5.000000000000004e-002	1.468851e-009	3.832560e-005
5.100000000000004e-002	1.513813e-009	3.890775e-005
5.200000000000004e-002	1.560140e-009	3.949861e-005
5.300000000000004e-002	1.607873e-009	4.009829e-005
5.400000000000004e-002	1.657054e-009	4.070693e-005
5.500000000000004e-002	1.707727e-009	4.132465e-005
5.600000000000004e-002	1.759936e-009	4.195159e-005
5.700000000000004e-002	1.813727e-009	4.258787e-005
5.800000000000005e-002	1.869147e-009	4.323364e-005
5.900000000000005e-002	1.926246e-009	4.388902e-005
6.000000000000005e-002	1.985073e-009	4.455416e-005
6.100000000000005e-002	2.045680e-009	4.522920e-005
6.200000000000005e-002	2.108120e-009	4.591427e-005
6.300000000000004e-002	2.172448e-009	4.660953e-005
6.400000000000004e-002	2.238719e-009	4.731511e-005
6.500000000000004e-002	2.306993e-009	4.803117e-005
6.600000000000005e-002	2.377327e-009	4.875784e-005
6.700000000000005e-002	2.449785e-009	4.949530e-005
6.800000000000005e-002	2.524427e-009	5.024368e-005
6.900000000000005e-002	2.601321e-009	5.100314e-005
7.000000000000005e-002	2.680531e-009	5.177385e-005
7.100000000000005e-002	2.762128e-009	5.255595e-005
7.200000000000005e-002	2.846182e-009	5.334962e-005
7.300000000000005e-002	2.932765e-009	5.415501e-005
7.400000000000005e-002	3.021952e-009	5.497229e-005
7.500000000000005e-002	3.113821e-009	5.580162e-005
7.600000000000005e-002	3.208450e-009	5.664318e-005
7.700000000000006e-002	3.305922e-009	5.749715e-005
7.800000000000006e-002	3.406319e-009	5.836368e-005
7.900000000000006e-002	3.509729e-009	5.924296e-005
