vds	Id(M2)	sqrt(Id(M2))
Step Information: Vgs=400m  (Run: 1/47)
0.000000000000000e+000	0.000000e+000	0.000000e+000
2.000000000000000e-002	2.706412e-006	1.645118e-003
4.000000000000000e-002	4.567632e-006	2.137202e-003
6.000000000000000e-002	5.733915e-006	2.394559e-003
8.000000000000000e-002	6.435176e-006	2.536765e-003
1.000000000000000e-001	6.895482e-006	2.625925e-003
1.200000000000000e-001	7.251286e-006	2.692821e-003
1.400000000000000e-001	7.564448e-006	2.750354e-003
1.600000000000000e-001	7.860811e-006	2.803714e-003
1.800000000000000e-001	8.151645e-006	2.855109e-003
2.000000000000000e-001	8.442296e-006	2.905563e-003
2.200000000000000e-001	8.735536e-006	2.955594e-003
2.400000000000000e-001	9.032926e-006	3.005483e-003
2.600000000000000e-001	9.335416e-006	3.055391e-003
2.800000000000000e-001	9.643622e-006	3.105418e-003
3.000000000000000e-001	9.957976e-006	3.155626e-003
3.200000000000000e-001	1.027879e-005	3.206055e-003
3.400000000000000e-001	1.060630e-005	3.256732e-003
3.600000000000000e-001	1.094072e-005	3.307676e-003
3.800000000000001e-001	1.128220e-005	3.358898e-003
4.000000000000001e-001	1.163088e-005	3.410408e-003
4.200000000000001e-001	1.198691e-005	3.462211e-003
4.400000000000001e-001	1.235038e-005	3.514311e-003
4.600000000000001e-001	1.272142e-005	3.566710e-003
4.800000000000002e-001	1.310011e-005	3.619408e-003
5.000000000000001e-001	1.348657e-005	3.672406e-003
5.200000000000001e-001	1.388086e-005	3.725703e-003
5.400000000000002e-001	1.428310e-005	3.779298e-003
5.600000000000002e-001	1.469335e-005	3.833190e-003
5.800000000000002e-001	1.511170e-005	3.887377e-003
6.000000000000002e-001	1.553822e-005	3.941855e-003
6.200000000000002e-001	1.597300e-005	3.996624e-003
6.400000000000002e-001	1.641611e-005	4.051680e-003
6.600000000000003e-001	1.686762e-005	4.107021e-003
6.800000000000003e-001	1.732760e-005	4.162643e-003
7.000000000000003e-001	1.779611e-005	4.218544e-003
7.200000000000003e-001	1.827323e-005	4.274720e-003
7.400000000000003e-001	1.875902e-005	4.331168e-003
7.600000000000003e-001	1.925353e-005	4.387885e-003
7.800000000000004e-001	1.975684e-005	4.444867e-003
8.000000000000004e-001	2.026900e-005	4.502110e-003
8.200000000000004e-001	2.079006e-005	4.559612e-003
8.400000000000004e-001	2.132009e-005	4.617368e-003
8.600000000000004e-001	2.185914e-005	4.675375e-003
8.800000000000005e-001	2.240725e-005	4.733630e-003
9.000000000000005e-001	2.296448e-005	4.792127e-003
9.200000000000005e-001	2.353088e-005	4.850864e-003
9.400000000000005e-001	2.410650e-005	4.909837e-003
9.600000000000005e-001	2.469138e-005	4.969042e-003
9.800000000000005e-001	2.528556e-005	5.028475e-003
1.000000000000000e+000	2.588909e-005	5.088132e-003
1.020000000000001e+000	2.650200e-005	5.148009e-003
1.040000000000001e+000	2.712434e-005	5.208103e-003
1.060000000000001e+000	2.775614e-005	5.268409e-003
1.080000000000001e+000	2.839743e-005	5.328924e-003
1.100000000000001e+000	2.904826e-005	5.389644e-003
1.120000000000001e+000	2.970865e-005	5.450564e-003
1.140000000000001e+000	3.037863e-005	5.511681e-003
1.160000000000001e+000	3.105824e-005	5.572992e-003
1.180000000000001e+000	3.174749e-005	5.634491e-003
1.200000000000001e+000	3.244642e-005	5.696176e-003
1.220000000000001e+000	3.315504e-005	5.758041e-003
1.240000000000001e+000	3.387338e-005	5.820085e-003
1.260000000000001e+000	3.460147e-005	5.882302e-003
1.280000000000001e+000	3.533932e-005	5.944688e-003
1.300000000000001e+000	3.608694e-005	6.007240e-003
1.320000000000001e+000	3.684435e-005	6.069955e-003
1.340000000000001e+000	3.761157e-005	6.132828e-003
1.360000000000001e+000	3.838862e-005	6.195855e-003
1.380000000000001e+000	3.917549e-005	6.259033e-003
1.400000000000001e+000	3.997222e-005	6.322358e-003
1.420000000000001e+000	4.077878e-005	6.385827e-003
1.440000000000001e+000	4.159521e-005	6.449435e-003
1.460000000000001e+000	4.242151e-005	6.513179e-003
1.480000000000001e+000	4.325767e-005	6.577056e-003
1.500000000000001e+000	4.410370e-005	6.641062e-003
1.520000000000001e+000	4.495961e-005	6.705193e-003
1.540000000000001e+000	4.582539e-005	6.769446e-003
1.560000000000001e+000	4.670105e-005	6.833817e-003
1.580000000000001e+000	4.758658e-005	6.898303e-003
1.600000000000001e+000	4.848198e-005	6.962900e-003
1.620000000000001e+000	4.938724e-005	7.027605e-003
1.640000000000001e+000	5.030235e-005	7.092415e-003
1.660000000000001e+000	5.122732e-005	7.157326e-003
1.680000000000001e+000	5.216214e-005	7.222336e-003
1.700000000000001e+000	5.310679e-005	7.287440e-003
1.720000000000001e+000	5.406126e-005	7.352636e-003
1.740000000000001e+000	5.502554e-005	7.417920e-003
1.760000000000001e+000	5.599963e-005	7.483290e-003
1.780000000000001e+000	5.698350e-005	7.548742e-003
1.800000000000001e+000	5.797715e-005	7.614273e-003
1.820000000000001e+000	5.898055e-005	7.679880e-003
1.840000000000001e+000	5.999370e-005	7.745560e-003
1.860000000000001e+000	6.101657e-005	7.811311e-003
1.880000000000001e+000	6.204916e-005	7.877129e-003
1.900000000000001e+000	6.309142e-005	7.943011e-003
1.920000000000001e+000	6.414336e-005	8.008955e-003
1.940000000000001e+000	6.520494e-005	8.074958e-003
1.960000000000001e+000	6.627615e-005	8.141017e-003
1.980000000000001e+000	6.735697e-005	8.207129e-003
2.000000000000001e+000	6.844736e-005	8.273292e-003
2.020000000000001e+000	6.954732e-005	8.339504e-003
2.040000000000001e+000	7.065682e-005	8.405761e-003
2.060000000000001e+000	7.177582e-005	8.472061e-003
2.080000000000001e+000	7.290430e-005	8.538402e-003
2.100000000000001e+000	7.404225e-005	8.604780e-003
2.120000000000001e+000	7.518962e-005	8.671195e-003
2.140000000000002e+000	7.634640e-005	8.737643e-003
2.160000000000002e+000	7.751256e-005	8.804122e-003
2.180000000000002e+000	7.868806e-005	8.870629e-003
2.200000000000002e+000	7.987289e-005	8.937163e-003
2.220000000000002e+000	8.106700e-005	9.003722e-003
2.240000000000002e+000	8.227037e-005	9.070302e-003
2.260000000000002e+000	8.348298e-005	9.136902e-003
2.280000000000002e+000	8.470478e-005	9.203520e-003
2.300000000000002e+000	8.593575e-005	9.270154e-003
2.320000000000002e+000	8.717586e-005	9.336801e-003
2.340000000000002e+000	8.842508e-005	9.403461e-003
2.360000000000002e+000	8.968336e-005	9.470130e-003
2.380000000000002e+000	9.095069e-005	9.536807e-003
2.400000000000002e+000	9.222702e-005	9.603490e-003
2.420000000000002e+000	9.351233e-005	9.670177e-003
2.440000000000002e+000	9.480658e-005	9.736867e-003
2.460000000000002e+000	9.610974e-005	9.803557e-003
2.480000000000002e+000	9.742177e-005	9.870247e-003
2.500000000000002e+000	9.874264e-005	9.936933e-003
2.520000000000002e+000	1.000723e-004	1.000362e-002
2.540000000000002e+000	1.014108e-004	1.007029e-002
2.560000000000002e+000	1.027579e-004	1.013696e-002
2.580000000000002e+000	1.041138e-004	1.020362e-002
2.600000000000002e+000	1.054784e-004	1.027027e-002
2.620000000000002e+000	1.068515e-004	1.033690e-002
2.640000000000002e+000	1.082333e-004	1.040352e-002
2.660000000000002e+000	1.096236e-004	1.047013e-002
2.680000000000002e+000	1.110225e-004	1.053672e-002
2.700000000000002e+000	1.124298e-004	1.060329e-002
2.720000000000002e+000	1.138456e-004	1.066985e-002
2.740000000000002e+000	1.152698e-004	1.073638e-002
2.760000000000002e+000	1.167024e-004	1.080289e-002
2.780000000000002e+000	1.181434e-004	1.086938e-002
2.800000000000002e+000	1.195926e-004	1.093584e-002
2.820000000000002e+000	1.210502e-004	1.100228e-002
2.840000000000002e+000	1.225159e-004	1.106869e-002
2.860000000000002e+000	1.239899e-004	1.113507e-002
2.880000000000002e+000	1.254720e-004	1.120143e-002
2.900000000000002e+000	1.269623e-004	1.126775e-002
2.920000000000002e+000	1.284606e-004	1.133405e-002
2.940000000000002e+000	1.299670e-004	1.140031e-002
2.960000000000002e+000	1.314815e-004	1.146654e-002
2.980000000000002e+000	1.330039e-004	1.153273e-002
3.000000000000000e+000	1.345342e-004	1.159889e-002
Step Information: Vgs=500m  (Run: 2/47)
0.000000000000000e+000	0.000000e+000	0.000000e+000
2.000000000000000e-002	8.481118e-006	2.912236e-003
4.000000000000000e-002	1.543293e-005	3.928477e-003
6.000000000000000e-002	2.094730e-005	4.576822e-003
8.000000000000000e-002	2.514689e-005	5.014667e-003
1.000000000000000e-001	2.821262e-005	5.311556e-003
1.200000000000000e-001	3.039937e-005	5.513562e-003
1.400000000000000e-001	3.199601e-005	5.656501e-003
1.600000000000000e-001	3.324594e-005	5.765929e-003
1.800000000000000e-001	3.430753e-005	5.857263e-003
2.000000000000000e-001	3.526912e-005	5.938781e-003
2.200000000000000e-001	3.617749e-005	6.014773e-003
2.400000000000000e-001	3.705766e-005	6.087500e-003
2.600000000000000e-001	3.792350e-005	6.158206e-003
2.800000000000000e-001	3.878308e-005	6.227606e-003
3.000000000000000e-001	3.964132e-005	6.296135e-003
3.200000000000000e-001	4.050132e-005	6.364064e-003
3.400000000000000e-001	4.136514e-005	6.431573e-003
3.600000000000000e-001	4.223416e-005	6.498782e-003
3.800000000000001e-001	4.310936e-005	6.565772e-003
4.000000000000001e-001	4.399145e-005	6.632605e-003
4.200000000000001e-001	4.488092e-005	6.699322e-003
4.400000000000001e-001	4.577815e-005	6.765955e-003
4.600000000000001e-001	4.668343e-005	6.832527e-003
4.800000000000002e-001	4.759698e-005	6.899056e-003
5.000000000000001e-001	4.851897e-005	6.965556e-003
5.200000000000001e-001	4.944952e-005	7.032035e-003
5.400000000000002e-001	5.038875e-005	7.098503e-003
5.600000000000002e-001	5.133672e-005	7.164965e-003
5.800000000000002e-001	5.229351e-005	7.231425e-003
6.000000000000002e-001	5.325916e-005	7.297887e-003
6.200000000000002e-001	5.423370e-005	7.364354e-003
6.400000000000002e-001	5.521718e-005	7.430826e-003
6.600000000000003e-001	5.620960e-005	7.497306e-003
